ClusterID,ClusterName,SpeciesID,SeasonID,SeasonName,Factor,Coefficient,CILow,CIHigh,PValue,R2,NRows,ModelStartYear,ModelEndYear,ModelType
2,Юг США,1,2,Летний период,Температура,-0.802463,-0.973545,-0.631381,1.0936405289539926e-15,0.7016,961,1980.0,2023.0,Множественная OLS
2,Юг США,1,2,Летний период,Плотность,-0.035839,-0.0442,-0.027478,7.915828484363385e-14,0.7016,961,1980.0,2023.0,Множественная OLS
2,Юг США,2,1,Зимний период,Год,0.031748,0.013554,0.049942,0.0007429702089190398,0.6204,982,1983.0,2023.0,Множественная OLS
2,Юг США,2,1,Зимний период,Температура,-0.294753,-0.340092,-0.249414,2.3379104866999564e-25,0.6204,982,1983.0,2023.0,Множественная OLS
2,Юг США,2,1,Зимний период,Плотность,-0.025968,-0.04059,-0.011346,0.0006022148642150139,0.6204,982,1983.0,2023.0,Множественная OLS
2,Юг США,2,2,Летний период,Год,-0.032666,-0.105269,0.039937,0.34628934289324353,0.9664,72,1991.0,2023.0,Множественная OLS
2,Юг США,2,2,Летний период,Температура,-0.12658,-0.201706,-0.051454,0.003200533779443932,0.9664,72,1991.0,2023.0,Множественная OLS
2,Юг США,2,2,Летний период,Плотность,-0.06559,-0.074441,-0.05674,1.6686007049961678e-09,0.9664,72,1991.0,2023.0,Множественная OLS
2,Юг США,3,1,Зимний период,Год,0.024837,0.009319,0.040356,0.001832766447935401,0.3628,1850,1980.0,2023.0,Множественная OLS
2,Юг США,3,1,Зимний период,Температура,-0.329285,-0.376146,-0.282425,8.163649380697964e-32,0.3628,1850,1980.0,2023.0,Множественная OLS
2,Юг США,3,1,Зимний период,Плотность,0.010279,-0.002437,0.022994,0.11257304646551566,0.3628,1850,1980.0,2023.0,Множественная OLS
2,Юг США,3,2,Летний период,Год,,,,,,17,,,Недостаточно данных
2,Юг США,3,2,Летний период,Температура,,,,,,17,,,Недостаточно данных
2,Юг США,3,2,Летний период,Плотность,,,,,,17,,,Недостаточно данных
3,Северо-восток США и восток Канады,1,1,Зимний период,Год,0.011259,0.00296,0.019558,0.008052641455223615,0.4423,10835,1980.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,1,1,Зимний период,Температура,-0.330322,-0.375952,-0.284692,1.2438624674455765e-33,0.4423,10835,1980.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,1,1,Зимний период,Плотность,0.000437,-0.000756,0.00163,0.4711967621605372,0.4423,10835,1980.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,1,2,Летний период,Год,0.013303,0.00241,0.024196,0.016874769537799147,0.4381,9151,1980.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,1,2,Летний период,Температура,-0.614367,-0.716037,-0.512696,2.0144788104748693e-26,0.4381,9151,1980.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,1,2,Летний период,Плотность,-0.001679,-0.002984,-0.000375,0.011826044188886147,0.4381,9151,1980.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,2,1,Зимний период,Год,0.027808,0.012876,0.042741,0.00029962301554447847,0.4129,6665,1981.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,2,1,Зимний период,Температура,-0.308268,-0.341954,-0.274583,7.157790956593907e-47,0.4129,6665,1981.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,2,1,Зимний период,Плотность,-0.002576,-0.004872,-0.000281,0.027954367820441025,0.4129,6665,1981.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,2,2,Летний период,Год,0.015879,-0.003236,0.034994,0.10308592256627161,0.3482,5425,1982.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,2,2,Летний период,Температура,-0.434958,-0.513841,-0.356076,8.170369654874883e-23,0.3482,5425,1982.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,2,2,Летний период,Плотность,-0.018907,-0.023954,-0.01386,2.2782789075026546e-12,0.3482,5425,1982.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,3,1,Зимний период,Год,0.029497,0.021627,0.037368,1.8027281533232828e-12,0.5342,9416,1980.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,3,1,Зимний период,Температура,-0.384938,-0.427255,-0.342621,1.832111281765023e-48,0.5342,9416,1980.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,3,1,Зимний период,Плотность,-1.9e-05,-0.000252,0.000213,0.8692002730505379,0.5342,9416,1980.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,3,2,Летний период,Год,-0.005251,-0.03344,0.022937,0.7127030327335522,0.5179,475,1980.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,3,2,Летний период,Температура,-0.851767,-0.983378,-0.720156,1.3986834671852593e-23,0.5179,475,1980.0,2023.0,Множественная OLS
3,Северо-восток США и восток Канады,3,2,Летний период,Плотность,-0.000583,-0.001602,0.000437,0.25988740318227066,0.5179,475,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,1,1,Зимний период,Год,-0.098113,-0.159563,-0.036663,0.002238388490453936,0.6458,1119,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,1,1,Зимний период,Температура,0.233499,0.019099,0.447899,0.03330964677793607,0.6458,1119,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,1,1,Зимний период,Плотность,-0.100958,-0.127175,-0.07474,1.5765932366245698e-10,0.6458,1119,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,1,2,Летний период,Год,-0.075133,-0.120445,-0.029821,0.0014904979944612338,0.7116,872,1981.0,2023.0,Множественная OLS
4,Запад США и Канады,1,2,Летний период,Температура,-0.401079,-0.565389,-0.236768,6.719960679899115e-06,0.7116,872,1981.0,2023.0,Множественная OLS
4,Запад США и Канады,1,2,Летний период,Плотность,-0.056932,-0.077461,-0.036402,5.156006359596643e-07,0.7116,872,1981.0,2023.0,Множественная OLS
4,Запад США и Канады,2,1,Зимний период,Год,-0.037934,-0.063465,-0.012404,0.0037731688973803904,0.07,5059,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,2,1,Зимний период,Температура,0.093886,-0.036113,0.223884,0.1560272175801094,0.07,5059,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,2,1,Зимний период,Плотность,-0.042919,-0.065016,-0.020821,0.00016970468314142436,0.07,5059,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,2,2,Летний период,Год,0.101602,0.075737,0.127467,3.4461996801725104e-13,0.1684,3031,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,2,2,Летний период,Температура,-0.588417,-0.762339,-0.414496,2.0374162609962437e-10,0.1684,3031,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,2,2,Летний период,Плотность,-0.036906,-0.07925,0.005438,0.0872641047461062,0.1684,3031,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,3,1,Зимний период,Год,0.007512,-0.017426,0.032449,0.553251522649396,0.3474,5921,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,3,1,Зимний период,Температура,-0.300396,-0.425118,-0.175674,3.825052854968715e-06,0.3474,5921,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,3,1,Зимний период,Плотность,-0.030027,-0.049943,-0.01011,0.00330579192584788,0.3474,5921,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,3,2,Летний период,Год,0.00431,-0.037838,0.046458,0.8398259550448176,0.5212,354,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,3,2,Летний период,Температура,-0.608802,-0.838485,-0.379119,7.035679397148054e-07,0.5212,354,1980.0,2023.0,Множественная OLS
4,Запад США и Канады,3,2,Летний период,Плотность,-0.054153,-0.071719,-0.036588,1.4170467200463698e-08,0.5212,354,1980.0,2023.0,Множественная OLS
5,Центр Канады,1,1,Зимний период,Год,,,,,,1,,,Недостаточно данных
5,Центр Канады,1,1,Зимний период,Температура,,,,,,1,,,Недостаточно данных
5,Центр Канады,1,1,Зимний период,Плотность,,,,,,1,,,Недостаточно данных
5,Центр Канады,1,2,Летний период,Год,,,,,,23,,,Недостаточно данных
5,Центр Канады,1,2,Летний период,Температура,,,,,,23,,,Недостаточно данных
5,Центр Канады,1,2,Летний период,Плотность,,,,,,23,,,Недостаточно данных
5,Центр Канады,2,1,Зимний период,Год,,,,,,7,,,Недостаточно данных
5,Центр Канады,2,1,Зимний период,Температура,,,,,,7,,,Недостаточно данных
5,Центр Канады,2,1,Зимний период,Плотность,,,,,,7,,,Недостаточно данных
5,Центр Канады,2,2,Летний период,Год,-0.030125,-0.131769,0.071518,0.5580174664690258,0.223,533,1985.0,2023.0,Множественная OLS
5,Центр Канады,2,2,Летний период,Температура,-0.359666,-0.555536,-0.163795,0.00042357396577886764,0.223,533,1985.0,2023.0,Множественная OLS
5,Центр Канады,2,2,Летний период,Плотность,-0.100213,-0.151905,-0.048521,0.00020773655028830202,0.223,533,1985.0,2023.0,Множественная OLS
5,Центр Канады,3,1,Зимний период,Год,,,,,,32,,,Недостаточно данных
5,Центр Канады,3,1,Зимний период,Температура,,,,,,32,,,Недостаточно данных
5,Центр Канады,3,1,Зимний период,Плотность,,,,,,32,,,Недостаточно данных
5,Центр Канады,3,2,Летний период,Год,-0.006755,-0.042906,0.029397,0.7130342116002035,0.5193,845,1980.0,2023.0,Множественная OLS
5,Центр Канады,3,2,Летний период,Температура,-0.516969,-0.661649,-0.37229,2.4568481978898336e-11,0.5193,845,1980.0,2023.0,Множественная OLS
5,Центр Канады,3,2,Летний период,Плотность,-0.228317,-0.332856,-0.123778,2.5319387041922803e-05,0.5193,845,1980.0,2023.0,Множественная OLS
